Datetime,Open,High,Low,Close,Volume,returns,sma160,sma80,sma7,ADX,Momentum,rsi,Donchian,DonchianChange,Trend_prediction,predict,position_gb,strategy_gb,Signal
2024-04-30 10:15:00,167.08999633789062,167.1999969482422,166.3300018310547,166.38499450683594,1437544,-0.004219294072094093,161.27869653701782,165.1269947052002,166.67428370884485,29.620377333393808,-0.531402587890625,44.335662199691555,2.8899993896484375,0.0,1,1.0,,,0
2024-04-30 10:30:00,166.3800048828125,166.6199951171875,166.11000061035156,166.61000061035156,1381786,0.0013523220899969157,161.34775838851928,165.28781337738036,166.77999877929688,28.497063549991218,-0.589996337890625,46.27776715301145,2.8899993896484375,0.0,1,1.0,1.0,0.0013523220899969157,0
2024-04-30 10:45:00,166.61959838867188,166.6199951171875,165.86500549316406,165.9600067138672,960892,-0.003901289803152408,161.4116333961487,165.43081340789794,166.7914276123047,27.755770106825885,-1.0699920654296875,41.746540335622754,2.8899993896484375,0.0,1,1.0,1.0,-0.003901289803152408,0
2024-04-30 11:00:00,165.95010375976562,165.97999572753906,165.30999755859375,165.41000366210938,974130,-0.003314069833137978,161.47438344955444,165.5609384536743,166.6857147216797,27.692696689286887,-1.2899932861328125,38.32684815369716,2.8899993896484375,0.0,1,1.0,1.0,-0.003314069833137978,0
2024-04-30 11:15:00,165.38999938964844,165.72999572753906,165.27999877929688,165.4499969482422,696914,0.00024178275344532985,161.53944597244262,165.69331340789796,166.3328574044364,27.66643269207546,-1.029998779296875,38.71993851268252,2.8899993896484375,0.0,1,1.0,1.0,0.00024178275344532985,0
2024-04-30 11:30:00,165.4550018310547,165.7100067138672,165.16000366210938,165.36000061035156,740840,-0.0005439488640109902,161.60619602203369,165.81872215270997,166.03785705566406,27.77675178287594,-1.035003662109375,38.13096405004138,2.94000244140625,0.01730209768794988,2,2.0,1.0,-0.0005439488640109902,0
2024-04-30 11:45:00,165.36000061035156,165.5,165.2899932861328,165.32000732421875,550580,-0.00024185586589986485,161.67600860595704,165.94072227478028,165.78500148228235,27.879190938619246,-0.7599945068359375,37.855391166942894,2.94000244140625,0.0,1,1.0,1.0,-0.00024185586589986485,0
2024-04-30 12:00:00,165.3094940185547,165.36000061035156,164.86000061035156,165.22000122070312,881754,-0.000604924383529104,161.74464044570922,166.056799697876,165.61857386997767,28.466533429584143,-0.14019775390625,37.13272191126947,3.2400054931640625,0.1020417696028566,2,2.0,1.0,-0.000604924383529104,0
2024-04-30 12:15:00,165.19000244140625,165.3511962890625,165.00999450683594,165.1743927001953,527655,-0.00027604721081486705,161.81010541915893,166.170729637146,165.41348702566964,29.01192288548012,-0.6956024169921875,36.78780075928132,3.2400054931640625,0.0,1,1.0,1.0,-0.00027604721081486705,0
2024-04-30 12:30:00,165.17999267578125,165.17999267578125,164.32000732421875,164.3300018310547,677295,-0.005112117292135343,161.8671679496765,166.27785472869874,165.18062918526786,30.218391226033102,-1.5500030517578125,31.03927101292704,3.779998779296875,0.16666431191926034,2,2.0,1.0,-0.005112117292135343,0
