EntryPrice,ExitPrice,PnL,Quantity,Signal
125.58000183105469,124.71217689501903,-68.55816994681716,79,1
126.16539764404297,125.30335544575149,-68.10133366502663,79,1
126.20010375976562,125.42624929838782,-61.1345024488469,79,1
125.87940216064453,125.11693277919356,-60.23508113462661,79,1
125.8499984741211,125.08277627495585,-60.61055373405446,79,1
128.8000030517578,127.76161361227966,-79.95598683981771,77,1
128.72999572753906,127.76044614753607,-74.65531766023025,77,1
129.25999450683594,130.56189682851698,100.24647876944016,77,1
129.3699951171875,130.69370915982543,101.9259812831207,77,1
128.88250732421875,130.4478489860304,120.53130795949767,77,1
130.8699951171875,132.75080273488828,142.94137894525943,76,1
131.40069580078125,130.4253330442026,-74.1275694999772,76,1
132.6396942138672,131.60486700052454,-77.6120410006989,75,1
131.40499877929688,130.30015422625334,-83.96818603130862,76,1
131.99000549316406,130.8856463109522,-82.82693866588886,75,1
131.39500427246094,130.32309028581403,-81.46546298516478,76,1
130.68040466308594,132.8048510597535,161.45792614673496,76,1
130.27000427246094,132.3180076163758,155.64825413753022,76,1
130.5998992919922,132.72896350757026,161.80888038393323,76,1
131.1898956298828,133.29005305769215,159.61196451350952,76,1
130.67030334472656,132.7004474711612,154.29095360903227,76,1
133.19000244140625,134.86525223708537,125.64373467593413,75,1
133.62989807128906,132.7860347477061,-62.4458859451384,74,1
133.05999755859375,134.78293103323054,129.22001059775923,75,1
133.0500946044922,134.69673387717313,123.49794545107073,75,1
134.17999267578125,135.81489284623063,120.98261261325445,74,1
134.44569396972656,136.01110436727166,115.84036941833693,74,1
134.4259033203125,135.92477206775152,110.9162873104874,74,1
134.9698944091797,136.45887872328106,110.18483924350159,74,1
134.99000549316406,136.43609113171468,107.01033725274539,74,1
135.6199951171875,137.0814728022346,106.68787100843832,73,1
135.61050415039062,136.9878366304096,100.54527104138438,73,1
135.74000549316406,137.1155849497905,100.41730033373011,73,1
136.2100067138672,135.46799638563138,-54.166753961213914,73,1
135.875,137.3446182246135,107.28213039678536,73,1
135.57000732421875,137.01266494707403,105.31400646843537,73,1
136.1300048828125,135.4098082811409,-52.574351922027006,73,1
135.4600067138672,136.91636120722762,106.31387801531184,73,1
135.72000122070312,137.15272038679782,104.58849912491306,73,1
135.22000122070312,136.63542808444618,103.32616105324269,73,1
135.67999267578125,137.1498759986578,107.30148256998748,73,1
140.22999572753906,139.06054804913916,-83.03078516639326,71,1
137.48500061035156,136.13754794812303,-97.01659168045444,72,1
130.6999969482422,131.76953421959308,-81.28483262266809,76,-1
130.4199981689453,131.45158195730173,-78.40036791508749,76,-1
131.0850067138672,132.11643200131766,-78.38832184623607,76,-1
